Box#,Section,Attempt#,HenSpecies,OrgEgg#,DumpNesting,DumpEgg#,Hatch#,DepthMode,WidthMode,Cover
E40,E,1,M,11,N,0,11,0.46,7.62,29461
E62,E,1,W,10,Y,3,10,0.3,1.8,28166
E62,E,2,W,8,Y,5,12,0.3,1.8,28166
E65,E,1,W,17,Y,1,16,0.3,1.8,24605
E93,E,1,W,9,N,0,9,0.6,6,20518
E93,E,2,W,2,N,0,0,0.6,6,20518
E4,E,1,W,14,N,0,0,0.6,7.62,30918
E7,E,1,W,9,Y,1,9,1.5,15,15985
E22,E,1,W,8,Y,4,8,0.6,4.57,26709
E22,E,2,W,14,N,0,14,0.6,4.57,26709
S20,S,1,W,13,Y,6,13,0.9,30.5,20882
S20,S,2,W,17,Y,4,15,0.9,30.5,20882
S34,S,1,M,9,N,0,0,0.9,30.5,18899
S34,S,2,M,9,N,0,0,0.9,30.5,18899
S7,S,1,M,2,Y,10,11,0.46,7.62,16106
S7,S,2,W,13,Y,3,13,0.46,7.62,16106
S11,S,1,M,10,N,0,10,0.6,9,27559
S14,S,1,W,19,Y,2,13,0.6,12,28207
S44,S,1,M,11,Y,2,11,0.9,9,27478
N93,N,1,M,20,Y,2,18,3,9,3642
N2,N,1,M,16,N,0,16,3,9,12060
N47,N,1,M,8,N,0,8,1.5,7.62,25374
N70,N,1,W,2,Y,4,2,0.46,4.6,13436
