#,Section,Box ID,Attempt,First Observed,T Eggs,TH,TA,TL,TW,WH,WA,WL,TM,MH,MA,ML
1,E,E40,1,23-Mar,11,11,0,0,0,0,0,0,11,11,0,0
2,E,E62,1,23-Mar,13,10,3,0,13,10,3,0,0,0,0,0
2,E,E62,2,20-May,13,12,0,1,13,12,0,1,0,0,0,0
3,E,E65,1,23-Mar,18,16,1,1,17,16,0,1,1,0,1,0
4,E,E71,0,N/A,0,0,0,0,0,0,0,0,0,0,0,0
5,E,E84,0,N/A,0,0,0,0,0,0,0,0,0,0,0,0
6,E,E93,1,23-Mar,9,9,0,0,9,9,0,0,0,0,0,0
6,E,E93,2,19-Apr,2,0,0,2,2,0,0,2,0,0,0,0
7,E,E4,1,19-Apr,14,0,6,8,14,0,6,8,0,0,0,0
8,E,E7,1,5-Apr,10,9,1,0,10,9,1,0,0,0,0,0
9,E,E22,1,23-Mar,12,8,4,0,12,8,4,0,0,0,0,0
9,E,E22,2,2-Jun,14,0,0,14,14,0,0,14,0,0,0,0
10,E,E23,0,N/A,0,0,0,0,0,0,0,0,0,0,0,0
11,S,S20,1,23-Mar,19,13,6,0,19,13,6,0,0,0,0,0
11,S,S20,2,24-May,21,15,4,2,21,15,4,2,0,0,0,0
9,S,S34,1,23-Mar,9,0,9,0,0,0,0,0,9,0,9,0
12,S,S34,2,3-May,9,0,9,0,0,0,0,0,9,0,9,0
13,S,S7,1,29-Mar,12,11,1,0,10,10,0,0,2,1,1,0
13,S,S7,2,3-May,16,13,1,2,16,13,1,0,0,0,0,0
14,S,S11,1,23-Mar,10,10,0,0,0,0,0,0,10,10,0,0
15,S,S46,0,N/A,0,0,0,0,0,0,0,0,0,0,0,0
16,S,S38,0,N/A,0,0,0,0,0,0,0,0,0,0,0,0
17,S,S40,0,N/A,0,0,0,0,0,0,0,0,0,0,0,0
18,S,S14,1,23-Mar,21,13,1,7,21,13,1,7,0,0,0,0
19,S,S48,0,N/A,0,0,0,0,0,0,0,0,0,0,0,0
20,S,S44,1,23-Mar,13,11,2,0,0,0,0,0,13,11,2,0
21,N,N86,0,N/A,0,0,0,0,0,0,0,0,0,0,0,0
22,N,N93,1,23-Mar,22,18,2,2,0,0,0,0,22,18,2,2
23,N,N96,0,N/A,0,0,0,0,0,0,0,0,0,0,0,0
24,N,N2,1,5-Apr,16,16,0,0,0,0,0,0,16,16,0,0
25,N,N73,0,N/A,0,0,0,0,0,0,0,0,0,0,0,0
26,N,N47,1,19-Apr,8,8,0,0,0,0,0,0,8,8,0,0
27,N,N58,0,N/A,0,0,0,0,0,0,0,0,0,0,0,0
28,N,N62,0,N/A,0,0,0,0,0,0,0,0,0,0,0,0
29,N,N68,0,N/A,0,0,0,0,0,0,0,0,0,0,0,0
30,N,N70,1,23-Mar,6,2,4,0,6,2,4,0,0,0,0,0
